protein_id	fasta_headers	gene_symbols_or_id	MS1d4-S	MS2d4-S	MW1d4-S	MW2d4-S
Q91V12	>sp|Q91V12|BACH_MOUSE Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus OX=10090 GN=Acot7 PE=1 SV=2	ACOT7	18.651211312636	17.829383594346	19.0247825172461	18.4233511742766
Q9R0X4	>sp|Q9R0X4|ACOT9_MOUSE Acyl-coenzyme A thioesterase 9, mitochondrial OS=Mus musculus OX=10090 GN=Acot9 PE=1 SV=1	ACOT9	18.8559837866221	18.9201285332539	18.8091292556972	18.8741349433562
Q9D358	>sp|Q9D358|PPAC_MOUSE Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus OX=10090 GN=Acp1 PE=1 SV=3	ACP1	18.7094210847147	18.9592124679637	18.8786057266496	18.9922299890219
P24638	>sp|P24638|PPAL_MOUSE Lysosomal acid phosphatase OS=Mus musculus OX=10090 GN=Acp2 PE=1 SV=2	ACP2	19.0204302107845	18.6211605298894	18.6679491460075	18.5258537540731
Q05117	>sp|Q05117|PPA5_MOUSE Tartrate-resistant acid phosphatase type 5 OS=Mus musculus OX=10090 GN=Acp5 PE=1 SV=2	ACP5	19.7670292363237	19.8163268551292	20.1635747847478	19.8465025616507
Q8BP40	>sp|Q8BP40|PPA6_MOUSE Lysophosphatidic acid phosphatase type 6 OS=Mus musculus OX=10090 GN=Acp6 PE=1 SV=1	ACP6	18.3642771732285	18.688169590165	18.8318580598873	18.9681463744278
Q3V140	>sp|Q3V140|ACRBP_MOUSE Acrosin-binding protein OS=Mus musculus OX=10090 GN=Acrbp PE=1 SV=1	ACRBP		19.4189357195739	18.8031001799468	19.2938502242512
P68134	>sp|P68134|ACTS_MOUSE Actin, alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1	ACTA1	21.929692280116	21.6524068722753	21.9355042734407	22.1258744648476
Q8BFZ3	>sp|Q8BFZ3|ACTBL_MOUSE Beta-actin-like protein 2 OS=Mus musculus OX=10090 GN=Actbl2 PE=1 SV=1	ACTBL2	23.0269701087391	22.5441826524419	23.1360265955732	23.0375053879276
P63260	>sp|P63260|ACTG_MOUSE Actin, cytoplasmic 2 OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1	ACTG1	21.3194564762985	20.6780763606737	21.3519679190091	21.4344905970674
P63268	>sp|P63268|ACTH_MOUSE Actin, gamma-enteric smooth muscle OS=Mus musculus OX=10090 GN=Actg2 PE=1 SV=1	ACTG2	20.0308418907402	19.561186576506	20.0037856873153	19.9902611882133
Q9Z2N8	>sp|Q9Z2N8|ACL6A_MOUSE Actin-like protein 6A OS=Mus musculus OX=10090 GN=Actl6a PE=1 SV=2	ACTL6A	18.0071572207672	18.3525513373016	18.2857877540779	17.5536596837901
Q7TPR4	>sp|Q7TPR4|ACTN1_MOUSE Alpha-actinin-1 OS=Mus musculus OX=10090 GN=Actn1 PE=1 SV=1	ACTN1	20.0942362178076	20.1034641472869	20.3213361314875	20.3625581078627
Q9JI91	>sp|Q9JI91|ACTN2_MOUSE Alpha-actinin-2 OS=Mus musculus OX=10090 GN=Actn2 PE=1 SV=2	ACTN2	20.3884484531534	20.1210352437282	20.2048771838141	20.7766874631392
O88990	>sp|O88990|ACTN3_MOUSE Alpha-actinin-3 OS=Mus musculus OX=10090 GN=Actn3 PE=1 SV=1	ACTN3	19.8677749171338	19.5269465985732	19.3175679872758	19.8556989134181
P57780	>sp|P57780|ACTN4_MOUSE Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1	ACTN4	20.4319575341317	20.4411438304102	20.4230266122544	20.4397471214081
P61164	>sp|P61164|ACTZ_MOUSE Alpha-centractin OS=Mus musculus OX=10090 GN=Actr1a PE=1 SV=1	ACTR1A	18.602352101722	18.5604398017699	18.3040938097385	18.7175802773925
P61161	>sp|P61161|ARP2_MOUSE Actin-related protein 2 OS=Mus musculus OX=10090 GN=Actr2 PE=1 SV=1	ACTR2	18.3705571237067	17.9386057815567	18.7070752536547	18.6268683939645
Q99JY9	>sp|Q99JY9|ARP3_MOUSE Actin-related protein 3 OS=Mus musculus OX=10090 GN=Actr3 PE=1 SV=3	ACTR3	18.7613111154693	18.4074251367151	18.7036567125753	18.8784395894853
Q99JW2	>sp|Q99JW2|ACY1_MOUSE Aminoacylase-1 OS=Mus musculus OX=10090 GN=Acy1 PE=1 SV=1	ACY1	20.4270764822379	20.6672779006111	20.2302998530681	20.3263938820803
P56376	>sp|P56376|ACYP1_MOUSE Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2	ACYP1	20.4341749607507	20.5773502041369	20.2789573837805	20.54005731586
P56375	>sp|P56375|ACYP2_MOUSE Acylphosphatase-2 OS=Mus musculus OX=10090 GN=Acyp2 PE=1 SV=2	ACYP2	18.8763924770127	19.1593051083608	18.9552270686737	19.0416098789361
P03958	>sp|P03958|ADA_MOUSE Adenosine deaminase OS=Mus musculus OX=10090 GN=Ada PE=1 SV=3	ADA	18.1755755895355	18.3293313534795	18.2150909841342	18.2639686573376
O35598	>sp|O35598|ADA10_MOUSE Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2	ADAM10	17.9350245009956	18.9093972162314	17.9531135044585	18.0615494310957
D3YUK3;D3Z117	>tr|D3YUK3|D3YUK3_MOUSE Isoform of Q61824, ADAM metallopeptidase domain 12 (Fragment) OS=Mus musculus OX=10090 GN=Adam12 PE=1 SV=1;>tr|D3Z117|D3Z117_MOUSE Isoform of Q61824, ADAM metallopeptidase domain 12 (Fragment) OS=Mus musculus OX=10090 GN=Adam12 PE=1 SV=1	ADAM12	20.5463898247018	20.9326596202098	20.7349306159574	20.464779327328
O88839	>sp|O88839|ADA15_MOUSE Disintegrin and metalloproteinase domain-containing protein 15 OS=Mus musculus OX=10090 GN=Adam15 PE=1 SV=2	ADAM15	18.543011118953	18.0175960124851	18.5136678670737	17.9195921884978
O35674	>sp|O35674|ADA19_MOUSE Disintegrin and metalloproteinase domain-containing protein 19 OS=Mus musculus OX=10090 GN=Adam19 PE=2 SV=2	ADAM19	19.3193615438976	20.0033526855673	20.0024821360936	19.8079514735021
Q9R1V7	>sp|Q9R1V7|ADA23_MOUSE Disintegrin and metalloproteinase domain-containing protein 23 OS=Mus musculus OX=10090 GN=Adam23 PE=1 SV=1	ADAM23	18.9787668212976	18.977131300556	19.5439387549041	19.3240509676695
Q61072	>sp|Q61072|ADAM9_MOUSE Disintegrin and metalloproteinase domain-containing protein 9 OS=Mus musculus OX=10090 GN=Adam9 PE=1 SV=2	ADAM9	17.5281898721793	18.2182418375598		17.8950182703798
P97857	>sp|P97857|ATS1_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Mus musculus OX=10090 GN=Adamts1 PE=1 SV=4	ADAMTS1	21.0537863986502	21.2046200890404	21.3645727257249	21.2852878298807
Q811B3	>sp|Q811B3|ATS12_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Mus musculus OX=10090 GN=Adamts12 PE=2 SV=2	ADAMTS12	19.0973764069208	18.7595059146307	19.2938397551664	19.0809615535204
Q8C9W3	>sp|Q8C9W3|ATS2_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 2 OS=Mus musculus OX=10090 GN=Adamts2 PE=1 SV=2	ADAMTS2	18.957391797685	20.0036128247119	20.1162630631255	19.2807279813905
Q8BNJ2	>sp|Q8BNJ2|ATS4_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 4 OS=Mus musculus OX=10090 GN=Adamts4 PE=2 SV=2	ADAMTS4	18.8680288621154	18.2673991036905		17.9134843795025
Q9R001	>sp|Q9R001|ATS5_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Mus musculus OX=10090 GN=Adamts5 PE=2 SV=2	ADAMTS5	17.9768228588803	18.5324163605275	18.4899650711757	18.4229461160533
E9PUN6	>tr|E9PUN6|E9PUN6_MOUSE ADAM metallopeptidase with thrombospondin type 1 motif 9 OS=Mus musculus OX=10090 GN=Adamts9 PE=4 SV=1	ADAMTS9	18.7541934456856	19.103956881932	19.2357613644947	18.7721296983616
E9PWW5	>tr|E9PWW5|E9PWW5_MOUSE Isoform of Q8BLI0, ADAMTS-like 1 OS=Mus musculus OX=10090 GN=Adamtsl1 PE=1 SV=1	ADAMTSL1	18.5128834228913	17.8990285684103	18.182630833567	17.8318830075822
G3UXC7	>tr|G3UXC7|G3UXC7_MOUSE ADAMTS-like 3 OS=Mus musculus OX=10090 GN=Adamtsl3 PE=1 SV=1	ADAMTSL3	18.9200507741094	18.8380604070262	18.37004591368	18.162047475131
G5E8Q8	>sp|G5E8Q8|AGRF5_MOUSE Adhesion G protein-coupled receptor F5 OS=Mus musculus OX=10090 GN=Adgrf5 PE=1 SV=1	ADGRF5	19.6089865979833	19.7634293766469	20.1126273410498	20.0918659533658
Q80TR1	>sp|Q80TR1|AGRL1_MOUSE Adhesion G protein-coupled receptor L1 OS=Mus musculus OX=10090 GN=Adgrl1 PE=1 SV=2	ADGRL1	20.5865615208598	19.624718581319	20.4245595167565	20.3452361143293
Q8JZZ7	>sp|Q8JZZ7|AGRL2_MOUSE Adhesion G protein-coupled receptor L2 OS=Mus musculus OX=10090 GN=Adgrl2 PE=1 SV=3	ADGRL2	19.0373299450476	18.9502495569688	18.9878886001747	18.9721720234356
Q80TS3	>sp|Q80TS3|AGRL3_MOUSE Adhesion G protein-coupled receptor L3 OS=Mus musculus OX=10090 GN=Adgrl3 PE=1 SV=3	ADGRL3	20.3063420356449		20.155196718731	20.1373511839183
P00329	>sp|P00329|ADH1_MOUSE Alcohol dehydrogenase 1 OS=Mus musculus OX=10090 GN=Adh1 PE=1 SV=2	ADH1	16.9769468652255	17.6187765017594	17.0003353183516	
P28474	>sp|P28474|ADHX_MOUSE Alcohol dehydrogenase class-3 OS=Mus musculus OX=10090 GN=Adh5 PE=1 SV=3	ADH5	18.1654902792038	18.3281091996758	18.1018169580256	17.8942399525854
Q99JT9	>sp|Q99JT9|MTND_MOUSE Acireductone dioxygenase OS=Mus musculus OX=10090 GN=Adi1 PE=1 SV=1	ADI1	19.9170220667181	19.9017897052524	20.0709223436442	19.6434253836637
Q60994	>sp|Q60994|ADIPO_MOUSE Adiponectin OS=Mus musculus OX=10090 GN=Adipoq PE=1 SV=2	ADIPOQ	21.9325297517305	22.2205898841313	22.2906648401954	22.0016187996685
Q9D1K7	>sp|Q9D1K7|ADSSP_MOUSE Adipose-secreted signaling protein OS=Mus musculus OX=10090 GN=Adissp PE=1 SV=3	ADISSP	16.9752584594136	17.1719053055949	17.2044627423371	17.6949955324429
Q6PDY2	>sp|Q6PDY2|AEDO_MOUSE 2-aminoethanethiol dioxygenase OS=Mus musculus OX=10090 GN=Ado PE=1 SV=2	ADO	18.1586775818829	18.2758415327566	18.2466796234905	18.0693113774101
P54923	>sp|P54923|ADPRH_MOUSE ADP-ribosylhydrolase ARH1 OS=Mus musculus OX=10090 GN=Adprh PE=1 SV=1	ADPRH	20.2009464082556	20.3276048434134	20.1352475049742	20.1943891936426
Q8CG72	>sp|Q8CG72|ADPRS_MOUSE ADP-ribosylhydrolase ARH3 OS=Mus musculus OX=10090 GN=Adprs PE=1 SV=1	ADPRS	18.2278434413454	18.3824745185091	18.0205721734064	18.3508796704348
Q9JKV1	>sp|Q9JKV1|ADRM1_MOUSE Proteasomal ubiquitin receptor ADRM1 OS=Mus musculus OX=10090 GN=Adrm1 PE=1 SV=2	ADRM1	16.99883253516	16.9390486775313	17.0031624118496	17.0809147172413
P54822	>sp|P54822|PUR8_MOUSE Adenylosuccinate lyase OS=Mus musculus OX=10090 GN=Adsl PE=1 SV=2	ADSL	18.6270348686216	18.2366293255416	18.502769618756	18.6307717928044
P28650	>sp|P28650|PURA1_MOUSE Adenylosuccinate synthetase isozyme 1 OS=Mus musculus OX=10090 GN=Adss1 PE=1 SV=2	ADSS1	17.2647888706897	17.6144753895802	17.1431605502978	17.81641461451
P46664	>sp|P46664|PURA2_MOUSE Adenylosuccinate synthetase isozyme 2 OS=Mus musculus OX=10090 GN=Adss2 PE=1 SV=2	ADSS2	18.9847826972159	19.3022000837515	19.1664332946677	19.0538470919323
Q640N1	>sp|Q640N1|AEBP1_MOUSE Adipocyte enhancer-binding protein 1 OS=Mus musculus OX=10090 GN=Aebp1 PE=1 SV=1	AEBP1	20.2774669732806	19.7587822407629	19.7677431288276	20.003740161004
O89020	>sp|O89020|AFAM_MOUSE Afamin OS=Mus musculus OX=10090 GN=Afm PE=1 SV=2	AFM	19.345606919574	18.1756987602148	19.1108200169152	19.0557106542518
Q64191	>sp|Q64191|ASPG_MOUSE N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Mus musculus OX=10090 GN=Aga PE=1 SV=1	AGA	19.8179035222062	19.7224144527791	19.9143423018114	19.6665448394779
F8VPN4	>tr|F8VPN4|F8VPN4_MOUSE Glycogen debranching enzyme OS=Mus musculus OX=10090 GN=Agl PE=1 SV=1	AGL	18.5505979049009	17.743201985409	18.3469699408598	18.6107176063471
Q8CJG0	>sp|Q8CJG0|AGO2_MOUSE Protein argonaute-2 OS=Mus musculus OX=10090 GN=Ago2 PE=1 SV=3	AGO2	19.228914894102	19.2960022846674	19.577612390299	19.5549164993378
A2ASQ1	>sp|A2ASQ1|AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1	AGRN	18.6472076794226	18.4728406818384	18.0228891791544	18.7029419881451
P50247	>sp|P50247|SAHH_MOUSE Adenosylhomocysteinase OS=Mus musculus OX=10090 GN=Ahcy PE=1 SV=3	AHCY	18.6621546093483	18.6782323569218	18.6753775978462	18.6646896254153
E9Q616	>tr|E9Q616|E9Q616_MOUSE AHNAK nucleoprotein OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1	AHNAK	18.337007473756	18.8830478875445	18.527002789292	18.5628162409333
A0A7N9VR94	>tr|A0A7N9VR94|A0A7N9VR94_MOUSE AHNAK nucleoprotein 2 OS=Mus musculus OX=10090 GN=Ahnak2 PE=1 SV=1	AHNAK2	18.349234416692	18.995469505932	18.0982509287916	18.6353244962663
Q8BK64	>sp|Q8BK64|AHSA1_MOUSE Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus OX=10090 GN=Ahsa1 PE=1 SV=2	AHSA1	19.4780450374635	19.5106593645377	19.3586334545613	19.4684255801772
A0A338P692	>tr|A0A338P692|A0A338P692_MOUSE Isoform of P29699, Alpha-2-HS-glycoprotein (Fragment) OS=Mus musculus OX=10090 GN=Ahsg PE=1 SV=1	AHSG	24.330560150031	24.1247997509641	23.9795208148108	24.1626084272769
Q9Z0X1	>sp|Q9Z0X1|AIFM1_MOUSE Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus OX=10090 GN=Aifm1 PE=1 SV=1	AIFM1	18.9101156391273	19.3057577686745	19.1602386961338	18.9700792165791
P31230	>sp|P31230|AIMP1_MOUSE Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Mus musculus OX=10090 GN=Aimp1 PE=1 SV=2	AIMP1	19.1784596571199	19.3102232368369	19.3632851289586	19.3032442622813
Q9R0Y5	>sp|Q9R0Y5|KAD1_MOUSE Adenylate kinase isoenzyme 1 OS=Mus musculus OX=10090 GN=Ak1 PE=1 SV=1	AK1	20.1265269894157	20.1855344553921	20.1599666730211	20.1268331593793
Q9WTP6	>sp|Q9WTP6|KAD2_MOUSE Adenylate kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Ak2 PE=1 SV=5	AK2	19.6903988027297	19.8963826728671	19.7076940301477	19.8094716830365
Q9WTQ5	>sp|Q9WTQ5|AKA12_MOUSE A-kinase anchor protein 12 OS=Mus musculus OX=10090 GN=Akap12 PE=1 SV=1	AKAP12	18.8195493191484	19.0976762270939	18.986536171017	18.8677679428945
Q9R0L7	>sp|Q9R0L7|AKP8L_MOUSE A-kinase anchor protein 8-like OS=Mus musculus OX=10090 GN=Akap8l PE=1 SV=1	AKAP8L	18.0775087589472		17.9692724857257	17.695191121412
Q9JII6	>sp|Q9JII6|AK1A1_MOUSE Aldo-keto reductase family 1 member A1 OS=Mus musculus OX=10090 GN=Akr1a1 PE=1 SV=3	AKR1A1	20.7586887350842	20.8869828056858	21.0335505271646	20.9123103615982
P45376	>sp|P45376|ALDR_MOUSE Aldo-keto reductase family 1 member B1 OS=Mus musculus OX=10090 GN=Akr1b1 PE=1 SV=3	AKR1B1	21.0187726065525	20.9415692882041	21.3388007961363	21.2699672790013
P45377	>sp|P45377|ALD2_MOUSE Aldose reductase-related protein 2 OS=Mus musculus OX=10090 GN=Akr1b8 PE=1 SV=2	AKR1B8	18.8264430300658	19.0060608614659	18.6882358169532	18.373345908724
Q9DCT1	>sp|Q9DCT1|AKCL2_MOUSE 1,5-anhydro-D-fructose reductase OS=Mus musculus OX=10090 GN=Akr1e2 PE=1 SV=1	AKR1E2	22.466111849481	22.4236112172919	22.5228706462874	
Q8CG76	>sp|Q8CG76|ARK72_MOUSE Aflatoxin B1 aldehyde reductase member 2 OS=Mus musculus OX=10090 GN=Akr7a2 PE=1 SV=3	AKR7A2	15.7226100245476	16.7001080774711	16.9076357501416	16.1772713195067
Q9D1F4	>sp|Q9D1F4|AKTS1_MOUSE Proline-rich AKT1 substrate 1 OS=Mus musculus OX=10090 GN=Akt1s1 PE=1 SV=1	AKT1S1		20.2364985484842	20.8238694815897	20.2860222961024
Q60823	>sp|Q60823|AKT2_MOUSE RAC-beta serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Akt2 PE=1 SV=1	AKT2	19.2256634592448	18.3564092184508	18.5935075809911	18.9799308441475
P10518	>sp|P10518|HEM2_MOUSE Delta-aminolevulinic acid dehydratase OS=Mus musculus OX=10090 GN=Alad PE=1 SV=1	ALAD	19.7114282242554	19.2032131988837	19.464501748918	19.7393912121704
P07724	>sp|P07724|ALBU_MOUSE Albumin OS=Mus musculus OX=10090 GN=Alb PE=1 SV=3	ALB	25.291318167083	24.815387645634	25.4163755722059	24.8065445598321
Q571I9	>sp|Q571I9|A16A1_MOUSE Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus OX=10090 GN=Aldh16a1 PE=1 SV=2	ALDH16A1	18.8700074375781	18.379393086957	17.897403464479	18.331957123611
Q62148	>sp|Q62148|AL1A2_MOUSE Retinal dehydrogenase 2 OS=Mus musculus OX=10090 GN=Aldh1a2 PE=1 SV=2	ALDH1A2	18.5209135574009	19.0277389474706		17.4328566913665
Q9DBF1	>sp|Q9DBF1|AL7A1_MOUSE Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh7a1 PE=1 SV=4	ALDH7A1	18.3190687087541	18.7356668320251	18.2589020801947	18.4387592009325
P05064	>sp|P05064|ALDOA_MOUSE Fructose-bisphosphate aldolase A OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=2	ALDOA	22.2549264137316	22.1657394373966	22.1123859395917	22.2011685811717
A6ZI47	>tr|A6ZI47|A6ZI47_MOUSE Fructose-bisphosphate aldolase OS=Mus musculus OX=10090 GN=Aldoart2 PE=1 SV=1	ALDOART2	19.7494256479488	18.4471779012616	19.3426531305148	19.1131679994677
P05063	>sp|P05063|ALDOC_MOUSE Fructose-bisphosphate aldolase C OS=Mus musculus OX=10090 GN=Aldoc PE=1 SV=4	ALDOC	17.6815652499411	18.2070337617372	17.5667291628329	16.8605730614721
Q8K1E6	>sp|Q8K1E6|ALKB3_MOUSE Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 OS=Mus musculus OX=10090 GN=Alkbh3 PE=1 SV=1	ALKBH3	19.3510042716845	18.6122983449112	19.2519914884804	18.6016770846454
Q924C5	>sp|Q924C5|ALPK3_MOUSE Alpha-protein kinase 3 OS=Mus musculus OX=10090 GN=Alpk3 PE=1 SV=2	ALPK3	17.277059611333	16.9640901992317		16.5081172665973
O08583	>sp|O08583|THOC4_MOUSE THO complex subunit 4 OS=Mus musculus OX=10090 GN=Alyref PE=1 SV=3	ALYREF	19.3221217597521	19.6087856152391	19.3151916417792	19.4483006340969
O09174	>sp|O09174|AMACR_MOUSE Alpha-methylacyl-CoA racemase OS=Mus musculus OX=10090 GN=Amacr PE=1 SV=4	AMACR	18.4475378550461			18.8094595828411
Q07456	>sp|Q07456|AMBP_MOUSE Protein AMBP OS=Mus musculus OX=10090 GN=Ambp PE=1 SV=2	AMBP	26.7348737097921	25.753648530582	26.8147364902433	26.2317407675237
Q8JZV7	>sp|Q8JZV7|NAGA_MOUSE N-acetylglucosamine-6-phosphate deacetylase OS=Mus musculus OX=10090 GN=Amdhd2 PE=1 SV=1	AMDHD2	16.7904065850075	17.5311031835656	17.2136821117622	16.9419544059067
Q99JB7	>sp|Q99JB7|AMNLS_MOUSE Protein amnionless OS=Mus musculus OX=10090 GN=Amn PE=1 SV=1	AMN	21.735069137568	22.1412324902689	21.9119842232232	22.3663299244222
