protein_id	fasta_headers	gene_symbols_or_id	MS1-L	MS2-L	MW1-L	MW2-L
V9GWZ1;V9GXF1	>tr|V9GWZ1|V9GWZ1_MOUSE Isoform of B1ARW8, RIKEN cDNA 1110065P20 gene (Fragment) OS=Mus musculus OX=10090 GN=1110065P20Rik PE=1 SV=1;>tr|V9GXF1|V9GXF1_MOUSE Isoform of B1ARW8, RIKEN cDNA 1110065P20 gene OS=Mus musculus OX=10090 GN=1110065P20Rik PE=1 SV=1	1110065P20RIK	18.0020880272307	17.9285816077354	18.1169871298643	17.7055008511654
Q14AA6	>tr|Q14AA6|Q14AA6_MOUSE GTP-binding nuclear protein Ran OS=Mus musculus OX=10090 GN=1700009N14Rik PE=1 SV=1	1700009N14RIK	20.1020993172311		20.0694020267134	20.340597976759
Q6GQT1	>sp|Q6GQT1|A2MG_MOUSE Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2	A2M	18.7897903089397	18.8784586260928	18.788437677804	19.1851177982106
Q9D2R0	>sp|Q9D2R0|AACS_MOUSE Acetoacetyl-CoA synthetase OS=Mus musculus OX=10090 GN=Aacs PE=1 SV=1	AACS	20.5018277866411	20.3750400850685	20.3159948126714	20.0751838717453
Q8BUY2	>tr|Q8BUY2|Q8BUY2_MOUSE AADACL2 family member 1 OS=Mus musculus OX=10090 GN=Aadacl2fm1 PE=2 SV=1	AADACL2FM1	20.0213286818422		20.5538670788426	20.1774480204135
Q8R2R3	>sp|Q8R2R3|AAGAB_MOUSE Alpha- and gamma-adaptin-binding protein p34 OS=Mus musculus OX=10090 GN=Aagab PE=1 SV=2	AAGAB	19.4447544005863	19.0867112844981	19.121771979587	19.3784504125365
A0A571BEI2	>tr|A0A571BEI2|A0A571BEI2_MOUSE Isoform of Q3UHJ0, AP2 associated kinase 1 (Fragment) OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=1	AAK1	19.1066066334727	19.3536398330041	19.00921178444	19.3585308846699
Q3UHJ0	>sp|Q3UHJ0|AAK1_MOUSE AP2-associated protein kinase 1 OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=2	AAK1	19.2322198359446	19.2533601981432	19.4337287250503	19.3730136589
Q8R0P4	>sp|Q8R0P4|AAMDC_MOUSE Mth938 domain-containing protein OS=Mus musculus OX=10090 GN=Aamdc PE=1 SV=1	AAMDC	18.4214011058636	18.3647092322379	18.7011913655131	19.0718974725834
Q8BGQ7	>sp|Q8BGQ7|SYAC_MOUSE Alanine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Aars1 PE=1 SV=1	AARS1	20.20010153878	19.7989274203251	19.8928674537517	19.7657597540128
Q14CH7	>sp|Q14CH7|SYAM_MOUSE Alanine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Aars2 PE=1 SV=1	AARS2	18.945062417652	18.371793464499	19.0217587380292	19.0942746978934
Q9JKX4	>sp|Q9JKX4|AATF_MOUSE Protein AATF OS=Mus musculus OX=10090 GN=Aatf PE=1 SV=1	AATF	18.8115567362393	18.7893557410797	19.0120085346176	19.0104785068931
Q8K449	>sp|Q8K449|ABCA9_MOUSE ATP-binding cassette sub-family A member 9 OS=Mus musculus OX=10090 GN=Abca9 PE=1 SV=2	ABCA9	17.1014818966563		16.8900956971568	16.7291146193586
Q9JI39	>sp|Q9JI39|ABCBA_MOUSE ATP-binding cassette sub-family B member 10, mitochondrial OS=Mus musculus OX=10090 GN=Abcb10 PE=1 SV=1	ABCB10	19.9660729329992	19.6692665684625	19.9110966756451	19.6333296964106
Q9DC29	>sp|Q9DC29|ABCB6_MOUSE ATP-binding cassette sub-family B member 6 OS=Mus musculus OX=10090 GN=Abcb6 PE=1 SV=1	ABCB6	15.753723573889	16.5882763283673		16.3033949320034
Q9CXJ4	>sp|Q9CXJ4|MITOS_MOUSE Mitochondrial potassium channel ATP-binding subunit OS=Mus musculus OX=10090 GN=Abcb8 PE=1 SV=1	ABCB8		14.7851877445329	15.1554984694323	15.3869812529513
Q9JJ59	>sp|Q9JJ59|ABCB9_MOUSE ABC-type oligopeptide transporter ABCB9 OS=Mus musculus OX=10090 GN=Abcb9 PE=1 SV=1	ABCB9	17.074144057921	16.596194000541	17.4357098043654	17.4990471389178
O35379	>sp|O35379|MRP1_MOUSE Multidrug resistance-associated protein 1 OS=Mus musculus OX=10090 GN=Abcc1 PE=1 SV=1	ABCC1	17.7810573458326	17.7623509194568	17.848628697552	
P61222	>sp|P61222|ABCE1_MOUSE ATP-binding cassette sub-family E member 1 OS=Mus musculus OX=10090 GN=Abce1 PE=1 SV=1	ABCE1	19.8499958273942	19.562601386536	19.7483105718009	19.6182465265019
Q6P542	>sp|Q6P542|ABCF1_MOUSE ATP-binding cassette sub-family F member 1 OS=Mus musculus OX=10090 GN=Abcf1 PE=1 SV=1	ABCF1	19.9275028745645	19.864845533122	19.9281602573882	19.9012019767517
Q99LE6	>sp|Q99LE6|ABCF2_MOUSE ATP-binding cassette sub-family F member 2 OS=Mus musculus OX=10090 GN=Abcf2 PE=1 SV=1	ABCF2	19.637559390986	19.443358291753	19.5175616008976	19.2607821926653
Q7TMS5	>sp|Q7TMS5|ABCG2_MOUSE Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Mus musculus OX=10090 GN=Abcg2 PE=1 SV=1	ABCG2	18.7804836589294		18.4757416368998	
Q8K4F5	>sp|Q8K4F5|ABHDB_MOUSE sn-1-specific diacylglycerol lipase ABHD11 OS=Mus musculus OX=10090 GN=Abhd11 PE=1 SV=1	ABHD11	18.7700635086984	19.3450401905118	19.4694391417679	19.5795430888585
Q99LR1	>sp|Q99LR1|ABD12_MOUSE Lysophosphatidylserine lipase ABHD12 OS=Mus musculus OX=10090 GN=Abhd12 PE=1 SV=2	ABHD12	16.9435659789775	16.8508824520949	17.4669920595831	17.462664774819
Q8VCR7	>sp|Q8VCR7|ABHEB_MOUSE Putative protein-lysine deacylase ABHD14B OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1	ABHD14B	18.0056447557053	18.1822205423272	17.7516703619142	17.7212617505541
Q9Z1Q2	>sp|Q9Z1Q2|ABHGA_MOUSE Phosphatidylserine lipase ABHD16A OS=Mus musculus OX=10090 GN=Abhd16a PE=1 SV=3	ABHD16A	19.3419212412739	19.3351452871466	19.188387138209	18.7976814781133
Q8VD66	>sp|Q8VD66|ABHD4_MOUSE (Lyso)-N-acylphosphatidylethanolamine lipase OS=Mus musculus OX=10090 GN=Abhd4 PE=1 SV=1	ABHD4	19.1116838378375	19.0635923951045	18.9729795012215	18.780206567014
Q8CBW3	>sp|Q8CBW3|ABI1_MOUSE Abl interactor 1 OS=Mus musculus OX=10090 GN=Abi1 PE=1 SV=3	ABI1	19.8919687754461	19.9323474744773	19.9310836466471	20.1360373001901
P62484	>sp|P62484|ABI2_MOUSE Abl interactor 2 OS=Mus musculus OX=10090 GN=Abi2 PE=1 SV=1	ABI2	18.4226211460152	18.5039094794363	18.7491870368474	18.8471665816322
Q80ZQ9	>sp|Q80ZQ9|ABITM_MOUSE Protein Abitram OS=Mus musculus OX=10090 GN=Abitram PE=1 SV=2	ABITRAM	19.3709392639654	19.6237822792173	19.548211296413	19.3641937793059
Q4JIM5	>sp|Q4JIM5|ABL2_MOUSE Tyrosine-protein kinase ABL2 OS=Mus musculus OX=10090 GN=Abl2 PE=1 SV=1	ABL2	18.2071365985353	18.0443609290546	18.8141470071491	18.277815578836
Q8K4G5	>sp|Q8K4G5|ABLM1_MOUSE Actin-binding LIM protein 1 OS=Mus musculus OX=10090 GN=Ablim1 PE=1 SV=1	ABLIM1	16.4367822925045	16.2556904224171	16.8813844596386	16.4202624161332
A0A0J9YUE1	>tr|A0A0J9YUE1|A0A0J9YUE1_MOUSE Isoform of Q8BL65, Actin-binding LIM protein 2 OS=Mus musculus OX=10090 GN=Ablim2 PE=4 SV=1	ABLIM2	19.2296623758673	19.0483512596131	19.445913368715	19.7776422326829
Q69ZX8	>sp|Q69ZX8|ABLM3_MOUSE Actin-binding LIM protein 3 OS=Mus musculus OX=10090 GN=Ablim3 PE=1 SV=2	ABLIM3	15.9693603226859		16.3157249570523	17.3970619420212
A0A571BG95	>tr|A0A571BG95|A0A571BG95_MOUSE Isoform of Q5SSL4, Active breakpoint cluster region-related protein OS=Mus musculus OX=10090 GN=Abr PE=1 SV=1	ABR	18.1680714716896	18.5384168708999	18.6478468556619	18.6995516913763
Q4KML4	>sp|Q4KML4|ABRAL_MOUSE Costars family protein ABRACL OS=Mus musculus OX=10090 GN=Abracl PE=1 SV=1	ABRACL	21.3210532774347	21.4121048880294	20.8675523366115	21.3257890400996
Q3TCJ1	>sp|Q3TCJ1|ABRX2_MOUSE BRISC complex subunit Abraxas 2 OS=Mus musculus OX=10090 GN=Abraxas2 PE=1 SV=1	ABRAXAS2	20.009936986591	19.9387815773196	20.4528272092575	20.29772593176
Q9QYL7	>sp|Q9QYL7|ABT1_MOUSE Activator of basal transcription 1 OS=Mus musculus OX=10090 GN=Abt1 PE=2 SV=1	ABT1	18.0457027085131	18.2964298203405	17.9386973152967	18.1422310162727
Q921H8	>sp|Q921H8|THIKA_MOUSE 3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus OX=10090 GN=Acaa1a PE=1 SV=1	ACAA1A	19.8783240448506	19.8897596082107	19.9575053344811	20.0307011492714
Q8BWT1	>sp|Q8BWT1|THIM_MOUSE 3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 GN=Acaa2 PE=1 SV=3	ACAA2	19.8515769121343	19.780946033602	19.9699082529311	19.9887283521677
Q5SWU9	>sp|Q5SWU9|ACACA_MOUSE Acetyl-CoA carboxylase 1 OS=Mus musculus OX=10090 GN=Acaca PE=1 SV=1	ACACA	18.7688035483934	18.1729636124883	18.5614120571442	18.1087526544723
Q80XL6	>sp|Q80XL6|ACD11_MOUSE Acyl-CoA dehydrogenase family member 11 OS=Mus musculus OX=10090 GN=Acad11 PE=1 SV=2	ACAD11	20.7421150487208	20.4468498006848	20.7208723538229	20.6248086843166
Q9D7B6	>sp|Q9D7B6|ACAD8_MOUSE Isobutyryl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acad8 PE=1 SV=2	ACAD8	19.6162416734475	19.4357645855578	19.5106323084841	19.4765315222904
Q8JZN5	>sp|Q8JZN5|ACAD9_MOUSE Complex I assembly factor ACAD9, mitochondrial OS=Mus musculus OX=10090 GN=Acad9 PE=1 SV=2	ACAD9	19.5279484101095	19.6684217515247	19.4558201468506	19.531167211512
P51174	>sp|P51174|ACADL_MOUSE Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadl PE=1 SV=2	ACADL	19.3507663465317	19.2058876322618	19.303772186207	19.7238829457762
P45952	>sp|P45952|ACADM_MOUSE Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadm PE=1 SV=1	ACADM	19.0573380182021	18.9217185938313	18.9530110145181	19.1110243990646
Q07417	>sp|Q07417|ACADS_MOUSE Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acads PE=1 SV=2	ACADS	20.2456324434922	19.837941318984	20.0006905678268	19.940375346247
Q9DBL1	>sp|Q9DBL1|ACDSB_MOUSE Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadsb PE=1 SV=1	ACADSB	19.1161288935575	18.5045091197767	18.9485551367473	18.6619726256351
P50544	>sp|P50544|ACADV_MOUSE Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 SV=3	ACADVL	19.3629925673361	19.1737380849859	19.1170558133983	19.1510777089477
Q6ZQK5	>sp|Q6ZQK5|ACAP2_MOUSE Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus OX=10090 GN=Acap2 PE=1 SV=2	ACAP2	19.5538689560922	19.4358476456932	19.2244024105195	19.5717425549996
Q8QZT1	>sp|Q8QZT1|THIL_MOUSE Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Acat1 PE=1 SV=1	ACAT1	20.0736048435805	19.9944818452233	20.1279783048752	20.2749088580832
Q8CAY6	>sp|Q8CAY6|THIC_MOUSE Acetyl-CoA acetyltransferase, cytosolic OS=Mus musculus OX=10090 GN=Acat2 PE=1 SV=2	ACAT2	20.1925682892876	20.3647741880677	20.2514418300804	20.4364884801258
Q8BMP6	>sp|Q8BMP6|GCP60_MOUSE Golgi resident protein GCP60 OS=Mus musculus OX=10090 GN=Acbd3 PE=1 SV=3	ACBD3	19.8787169553307	19.939734541749	19.6476031123936	19.7861145139146
Q5XG73	>sp|Q5XG73|ACBD5_MOUSE Acyl-CoA-binding domain-containing protein 5 OS=Mus musculus OX=10090 GN=Acbd5 PE=1 SV=1	ACBD5	17.6266226842178	17.4300026949601	17.4348870260051	17.3227209426004
Q9D061	>sp|Q9D061|ACBD6_MOUSE Acyl-CoA-binding domain-containing protein 6 OS=Mus musculus OX=10090 GN=Acbd6 PE=1 SV=2	ACBD6	19.1216894026636	19.0104707350149	18.9762716537881	19.1553105583815
Q3UX83	>sp|Q3UX83|1A1L2_MOUSE Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2 OS=Mus musculus OX=10090 GN=Accsl PE=2 SV=1	ACCSL	19.5170736833519		19.5684340288327	
Q9JIX8	>sp|Q9JIX8|ACINU_MOUSE Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus OX=10090 GN=Acin1 PE=1 SV=3	ACIN1	18.8066010765212	18.9392078288737	18.8847595669931	18.9929510621431
Q3V117	>tr|Q3V117|Q3V117_MOUSE Isoform of Q91V92, ATP-citrate synthase OS=Mus musculus OX=10090 GN=Acly PE=1 SV=1	ACLY	20.4513814016583	20.1797423459845	20.0874162373157	19.8388660746935
P28271	>sp|P28271|ACOHC_MOUSE Cytoplasmic aconitate hydratase OS=Mus musculus OX=10090 GN=Aco1 PE=1 SV=3	ACO1	19.0440900233427	18.9453140518986	18.76541022265	18.912620760223
Q99KI0	>sp|Q99KI0|ACON_MOUSE Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1	ACO2	20.3279084107666	20.3782188698388	20.3893508225668	20.5898595616224
Q9CQR4	>sp|Q9CQR4|ACO13_MOUSE Acyl-coenzyme A thioesterase 13 OS=Mus musculus OX=10090 GN=Acot13 PE=1 SV=1	ACOT13	18.8723523586505	18.9334804578654	19.0164424142379	19.3301062264766
Q9QYR9	>sp|Q9QYR9|ACOT2_MOUSE Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus OX=10090 GN=Acot2 PE=1 SV=2	ACOT2	21.5269156482453	21.2300002809039	21.2987825462071	21.4454795340773
Q91V12	>sp|Q91V12|BACH_MOUSE Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus OX=10090 GN=Acot7 PE=1 SV=2	ACOT7	19.5961211008971	19.5410306127696	19.5105147702246	19.3348854603854
Q9R0X4	>sp|Q9R0X4|ACOT9_MOUSE Acyl-coenzyme A thioesterase 9, mitochondrial OS=Mus musculus OX=10090 GN=Acot9 PE=1 SV=1	ACOT9	19.8348655985875	19.6165014305816	19.4958916139113	19.6883286940061
Q9D358	>sp|Q9D358|PPAC_MOUSE Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus OX=10090 GN=Acp1 PE=1 SV=3	ACP1	20.9247769640649	20.8701980900028	21.242017306152	21.1979573049143
P24638	>sp|P24638|PPAL_MOUSE Lysosomal acid phosphatase OS=Mus musculus OX=10090 GN=Acp2 PE=1 SV=2	ACP2	20.2448826388895	20.0426261489803	20.0234895274419	20.4736877986961
Q8BP40	>sp|Q8BP40|PPA6_MOUSE Lysophosphatidic acid phosphatase type 6 OS=Mus musculus OX=10090 GN=Acp6 PE=1 SV=1	ACP6	18.9125314561938	18.5110623738618	19.0005527886739	19.1140259278198
Q3V140	>sp|Q3V140|ACRBP_MOUSE Acrosin-binding protein OS=Mus musculus OX=10090 GN=Acrbp PE=1 SV=1	ACRBP	20.9718580450667	20.7691460294891	21.0923678700279	21.1033670269256
Q9CZW4	>sp|Q9CZW4|ACSL3_MOUSE Fatty acid CoA ligase Acsl3 OS=Mus musculus OX=10090 GN=Acsl3 PE=1 SV=2	ACSL3	18.7445267753786	17.7710467643162	18.3971123441077	18.1091595160196
Q9QUJ7	>sp|Q9QUJ7|ACSL4_MOUSE Long-chain-fatty-acid--CoA ligase 4 OS=Mus musculus OX=10090 GN=Acsl4 PE=1 SV=2	ACSL4	20.4904722210792	20.2163949573246	20.4118926512507	20.3848781199215
Q8JZR0	>sp|Q8JZR0|ACSL5_MOUSE Long-chain-fatty-acid--CoA ligase 5 OS=Mus musculus OX=10090 GN=Acsl5 PE=1 SV=1	ACSL5	19.0882238428172	18.7876593200285	18.330015708611	18.6341658755611
Q9QXG4	>sp|Q9QXG4|ACSA_MOUSE Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus OX=10090 GN=Acss2 PE=1 SV=2	ACSS2	18.6718077246888	18.7894943999311	18.3509937453024	18.777910377469
P68134	>sp|P68134|ACTS_MOUSE Actin, alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1	ACTA1	23.3474944233357	23.3121383693181	23.1564058880939	23.1155790988036
E9Q5F4	>tr|E9Q5F4|E9Q5F4_MOUSE Isoform of P60710, Actin, beta (Fragment) OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1	ACTB	19.59565838576	19.8562223393043	19.4738911463138	21.4623851859439
Q8BFZ3	>sp|Q8BFZ3|ACTBL_MOUSE Beta-actin-like protein 2 OS=Mus musculus OX=10090 GN=Actbl2 PE=1 SV=1	ACTBL2	23.9957941541675	23.9159807674419	23.6718839026205	23.5700352261515
P63260	>sp|P63260|ACTG_MOUSE Actin, cytoplasmic 2 OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1	ACTG1	22.3361129110634	22.6092696498116	22.2344322818554	22.0621138037016
P63268	>sp|P63268|ACTH_MOUSE Actin, gamma-enteric smooth muscle OS=Mus musculus OX=10090 GN=Actg2 PE=1 SV=1	ACTG2	21.5592932568516	21.8244759575541	21.5158334952826	21.301043014402
Q9Z2N8	>sp|Q9Z2N8|ACL6A_MOUSE Actin-like protein 6A OS=Mus musculus OX=10090 GN=Actl6a PE=1 SV=2	ACTL6A	20.1671631642793	19.9147297063656	19.9463915180023	19.5415895328326
Q7TPR4	>sp|Q7TPR4|ACTN1_MOUSE Alpha-actinin-1 OS=Mus musculus OX=10090 GN=Actn1 PE=1 SV=1	ACTN1	20.7171889760279	20.5275149237998	20.3883686676464	20.0269876811945
Q9JI91	>sp|Q9JI91|ACTN2_MOUSE Alpha-actinin-2 OS=Mus musculus OX=10090 GN=Actn2 PE=1 SV=2	ACTN2	17.8461602972291	17.5571417096907	17.5283085677068	18.1095936186016
P57780	>sp|P57780|ACTN4_MOUSE Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1	ACTN4	21.2111329041481	21.2338655065645	21.0388974426658	20.7931222408709
Q9QZB7	>sp|Q9QZB7|ARP10_MOUSE Actin-related protein 10 OS=Mus musculus OX=10090 GN=Actr10 PE=1 SV=2	ACTR10	19.1194502272201	19.1927078745117	19.1480924151891	19.2373734468568
P61164	>sp|P61164|ACTZ_MOUSE Alpha-centractin OS=Mus musculus OX=10090 GN=Actr1a PE=1 SV=1	ACTR1A	20.2281806791944	20.3270418179007	20.201482330019	20.2477931334206
P61161	>sp|P61161|ARP2_MOUSE Actin-related protein 2 OS=Mus musculus OX=10090 GN=Actr2 PE=1 SV=1	ACTR2	19.6945608253191	19.6534929235268	19.5498159596196	19.511261942052
Q99JY9	>sp|Q99JY9|ARP3_MOUSE Actin-related protein 3 OS=Mus musculus OX=10090 GN=Actr3 PE=1 SV=3	ACTR3	19.7961187339839	19.809708993909	19.6697301258667	19.5343416084569
Q80US4	>sp|Q80US4|ARP5_MOUSE Actin-related protein 5 OS=Mus musculus OX=10090 GN=Actr5 PE=1 SV=3	ACTR5	15.7177515589594	16.1483533489403	15.8598115899977	15.9396355755165
Q99JW2	>sp|Q99JW2|ACY1_MOUSE Aminoacylase-1 OS=Mus musculus OX=10090 GN=Acy1 PE=1 SV=1	ACY1	18.9389344763043	19.3408267600535	18.6336401485997	18.9496458596925
P56376	>sp|P56376|ACYP1_MOUSE Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2	ACYP1	20.5886998212287	20.487251755041	20.8383799198494	20.7994695056287
P56375	>sp|P56375|ACYP2_MOUSE Acylphosphatase-2 OS=Mus musculus OX=10090 GN=Acyp2 PE=1 SV=2	ACYP2	18.9504901905435	19.2139276860684	19.4761445930058	19.1427387851616
P03958	>sp|P03958|ADA_MOUSE Adenosine deaminase OS=Mus musculus OX=10090 GN=Ada PE=1 SV=3	ADA	18.019344940241	18.4231059080465	18.2736635124166	18.3129231403201
O35598	>sp|O35598|ADA10_MOUSE Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2	ADAM10	17.517495460987	18.2210350021055	18.1099690576257	18.3926372355219
D3YUK3;D3Z117	>tr|D3YUK3|D3YUK3_MOUSE Isoform of Q61824, ADAM metallopeptidase domain 12 (Fragment) OS=Mus musculus OX=10090 GN=Adam12 PE=1 SV=1;>tr|D3Z117|D3Z117_MOUSE Isoform of Q61824, ADAM metallopeptidase domain 12 (Fragment) OS=Mus musculus OX=10090 GN=Adam12 PE=1 SV=1	ADAM12	18.2127219097998	18.4806459878427	17.9829802835539	17.9569545151483
Q61824	>sp|Q61824|ADA12_MOUSE Disintegrin and metalloproteinase domain-containing protein 12 OS=Mus musculus OX=10090 GN=Adam12 PE=1 SV=2	ADAM12	18.8020527357226	18.6573989468703	18.7245022889052	19.164479449967
O88839	>sp|O88839|ADA15_MOUSE Disintegrin and metalloproteinase domain-containing protein 15 OS=Mus musculus OX=10090 GN=Adam15 PE=1 SV=2	ADAM15	17.2237358603948	17.8143824370427	17.3488543659492	17.7731710750277
Q9Z0F8	>sp|Q9Z0F8|ADA17_MOUSE Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus OX=10090 GN=Adam17 PE=1 SV=3	ADAM17	19.398165746914	19.0929100657957		19.3089644682285
Q9R1V7	>sp|Q9R1V7|ADA23_MOUSE Disintegrin and metalloproteinase domain-containing protein 23 OS=Mus musculus OX=10090 GN=Adam23 PE=1 SV=1	ADAM23	18.9470603744005	19.3772678135577	18.7895967885316	18.7281398145253
P97857	>sp|P97857|ATS1_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Mus musculus OX=10090 GN=Adamts1 PE=1 SV=4	ADAMTS1	19.0978759127036	19.5137422720787	19.3831225082069	19.267673650415
Q811B3	>sp|Q811B3|ATS12_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Mus musculus OX=10090 GN=Adamts12 PE=2 SV=2	ADAMTS12		17.225732911796	17.117548917695	16.8866539461028
Q8BNJ2	>sp|Q8BNJ2|ATS4_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 4 OS=Mus musculus OX=10090 GN=Adamts4 PE=2 SV=2	ADAMTS4	20.9847332875198	21.0733128991541	21.2300777908718	21.0884873375771
Q9R001	>sp|Q9R001|ATS5_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Mus musculus OX=10090 GN=Adamts5 PE=2 SV=2	ADAMTS5	18.9207525515767	19.3273492201755	18.8275430749648	18.7412789453066
G3UXC7	>tr|G3UXC7|G3UXC7_MOUSE ADAMTS-like 3 OS=Mus musculus OX=10090 GN=Adamtsl3 PE=1 SV=1	ADAMTSL3	17.762489864616	16.807531409769	17.6592650225956	17.9756969505547
Q80T21	>sp|Q80T21|ATL4_MOUSE ADAMTS-like protein 4 OS=Mus musculus OX=10090 GN=Adamtsl4 PE=2 SV=1	ADAMTSL4	17.4310304391006	17.5213631180982	17.4910322426486	17.1986993539448
Q6P6J0	>sp|Q6P6J0|ADAT2_MOUSE tRNA-specific adenosine deaminase 2 OS=Mus musculus OX=10090 GN=Adat2 PE=1 SV=1	ADAT2	20.1392907929867	20.6591427777455	20.4325297708307	20.5260202497154
