protein_id	fasta_headers	gene_symbols_or_id	MS1-S	MS2-S	MW1-S	MW2-S
P63268	>sp|P63268|ACTH_MOUSE Actin, gamma-enteric smooth muscle OS=Mus musculus OX=10090 GN=Actg2 PE=1 SV=1	ACTG2	18.3916815464819	19.1811446797255	19.2400974059276	
Q9Z2N8	>sp|Q9Z2N8|ACL6A_MOUSE Actin-like protein 6A OS=Mus musculus OX=10090 GN=Actl6a PE=1 SV=2	ACTL6A	17.3578644837033	17.3532726766367	17.7266241138572	
Q7TPR4	>sp|Q7TPR4|ACTN1_MOUSE Alpha-actinin-1 OS=Mus musculus OX=10090 GN=Actn1 PE=1 SV=1	ACTN1	19.156888847975	18.7788202050276	19.2760606114682	19.3587760910157
Q9JI91	>sp|Q9JI91|ACTN2_MOUSE Alpha-actinin-2 OS=Mus musculus OX=10090 GN=Actn2 PE=1 SV=2	ACTN2	18.0766313888547	17.560572602418	17.7297301626858	
O88990	>sp|O88990|ACTN3_MOUSE Alpha-actinin-3 OS=Mus musculus OX=10090 GN=Actn3 PE=1 SV=1	ACTN3	19.0176254200255	19.5549280625536	18.9059744775873	
P57780	>sp|P57780|ACTN4_MOUSE Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1	ACTN4	19.9561119942981	19.2133564412526	19.5719102578801	19.5391939189034
P61164	>sp|P61164|ACTZ_MOUSE Alpha-centractin OS=Mus musculus OX=10090 GN=Actr1a PE=1 SV=1	ACTR1A	18.4658579899321	18.6241229165526	18.2522230498158	
P61161	>sp|P61161|ARP2_MOUSE Actin-related protein 2 OS=Mus musculus OX=10090 GN=Actr2 PE=1 SV=1	ACTR2	17.8338116463989	17.492992770752	18.2060097111934	18.7235818105359
Q99JY9	>sp|Q99JY9|ARP3_MOUSE Actin-related protein 3 OS=Mus musculus OX=10090 GN=Actr3 PE=1 SV=3	ACTR3	18.6446759462859	17.6923880141735	18.7617969835612	18.0780080015808
Q99JW2	>sp|Q99JW2|ACY1_MOUSE Aminoacylase-1 OS=Mus musculus OX=10090 GN=Acy1 PE=1 SV=1	ACY1	17.3355999118693		16.1244701003669	
P56376	>sp|P56376|ACYP1_MOUSE Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2	ACYP1	19.088501286385		17.0644385680584	
P56375	>sp|P56375|ACYP2_MOUSE Acylphosphatase-2 OS=Mus musculus OX=10090 GN=Acyp2 PE=1 SV=2	ACYP2	18.3147678574264	18.703654388362	18.3792377410635	18.8863802209712
P03958	>sp|P03958|ADA_MOUSE Adenosine deaminase OS=Mus musculus OX=10090 GN=Ada PE=1 SV=3	ADA	17.1620823844773	16.3334135845558	16.9038832620183	
O35598	>sp|O35598|ADA10_MOUSE Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2	ADAM10	14.7004133475751		14.9570231953205	
D3YUK3;D3Z117	>tr|D3YUK3|D3YUK3_MOUSE Isoform of Q61824, ADAM metallopeptidase domain 12 (Fragment) OS=Mus musculus OX=10090 GN=Adam12 PE=1 SV=1;>tr|D3Z117|D3Z117_MOUSE Isoform of Q61824, ADAM metallopeptidase domain 12 (Fragment) OS=Mus musculus OX=10090 GN=Adam12 PE=1 SV=1	ADAM12	19.1899903081551	19.8401036686197	18.8954753898238	
O35674	>sp|O35674|ADA19_MOUSE Disintegrin and metalloproteinase domain-containing protein 19 OS=Mus musculus OX=10090 GN=Adam19 PE=2 SV=2	ADAM19	18.5330879623916		18.3360625613327	
P97857	>sp|P97857|ATS1_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Mus musculus OX=10090 GN=Adamts1 PE=1 SV=4	ADAMTS1	19.5199885627117	19.5370488612706	18.3881411552081	
Q811B3	>sp|Q811B3|ATS12_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Mus musculus OX=10090 GN=Adamts12 PE=2 SV=2	ADAMTS12	14.6269212079404		14.8239798181074	
Q8BNJ2	>sp|Q8BNJ2|ATS4_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 4 OS=Mus musculus OX=10090 GN=Adamts4 PE=2 SV=2	ADAMTS4	16.7462774474449	16.1522222183414	14.2112806149348	
Q9R001	>sp|Q9R001|ATS5_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Mus musculus OX=10090 GN=Adamts5 PE=2 SV=2	ADAMTS5	17.2765372688107		17.6922974230285	
G5E8Q8	>sp|G5E8Q8|AGRF5_MOUSE Adhesion G protein-coupled receptor F5 OS=Mus musculus OX=10090 GN=Adgrf5 PE=1 SV=1	ADGRF5		16.6033884103169	15.4777278152972	
P28474	>sp|P28474|ADHX_MOUSE Alcohol dehydrogenase class-3 OS=Mus musculus OX=10090 GN=Adh5 PE=1 SV=3	ADH5	18.1554923494999	18.5585417053836	17.8018489771801	
Q99JT9	>sp|Q99JT9|MTND_MOUSE Acireductone dioxygenase OS=Mus musculus OX=10090 GN=Adi1 PE=1 SV=1	ADI1	18.5061656584169	18.2822338705583	18.0293246074287	
Q60994	>sp|Q60994|ADIPO_MOUSE Adiponectin OS=Mus musculus OX=10090 GN=Adipoq PE=1 SV=2	ADIPOQ	18.9267822064142	18.3418822235857	20.8813884458252	
P55264	>sp|P55264|ADK_MOUSE Adenosine kinase OS=Mus musculus OX=10090 GN=Adk PE=1 SV=2	ADK	16.1657191478705		15.1962156731608	
P54923	>sp|P54923|ADPRH_MOUSE ADP-ribosylhydrolase ARH1 OS=Mus musculus OX=10090 GN=Adprh PE=1 SV=1	ADPRH	17.5223266449918	18.475189055662	18.8507251101925	
Q8CG72	>sp|Q8CG72|ADPRS_MOUSE ADP-ribosylhydrolase ARH3 OS=Mus musculus OX=10090 GN=Adprs PE=1 SV=1	ADPRS	17.9798973898589	17.1097486986242	17.5348529771612	
P46664	>sp|P46664|PURA2_MOUSE Adenylosuccinate synthetase isozyme 2 OS=Mus musculus OX=10090 GN=Adss2 PE=1 SV=2	ADSS2	19.024656832879	18.6745774664505	18.591140188907	
Q640N1	>sp|Q640N1|AEBP1_MOUSE Adipocyte enhancer-binding protein 1 OS=Mus musculus OX=10090 GN=Aebp1 PE=1 SV=1	AEBP1		16.8229138980777	14.6834837859036	
Q3UMC0	>sp|Q3UMC0|AFG2A_MOUSE ATPase family gene 2 protein homolog A OS=Mus musculus OX=10090 GN=Afg2a PE=1 SV=2	AFG2A	18.3857982384043		18.2772557926973	
Q64191	>sp|Q64191|ASPG_MOUSE N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Mus musculus OX=10090 GN=Aga PE=1 SV=1	AGA	18.3412075506087		18.3080355854189	
P50247	>sp|P50247|SAHH_MOUSE Adenosylhomocysteinase OS=Mus musculus OX=10090 GN=Ahcy PE=1 SV=3	AHCY	18.9103113029588	18.8214397912317	18.1508508973231	
E9Q616	>tr|E9Q616|E9Q616_MOUSE AHNAK nucleoprotein OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1	AHNAK	19.168962401357	19.7837514772284	17.613117175158	
A0A7N9VR94	>tr|A0A7N9VR94|A0A7N9VR94_MOUSE AHNAK nucleoprotein 2 OS=Mus musculus OX=10090 GN=Ahnak2 PE=1 SV=1	AHNAK2	18.5233606609295			20.1920372438848
Q8BK64	>sp|Q8BK64|AHSA1_MOUSE Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus OX=10090 GN=Ahsa1 PE=1 SV=2	AHSA1	17.988544728656	16.7959023909764	17.8376763187984	
A0A338P692	>tr|A0A338P692|A0A338P692_MOUSE Isoform of P29699, Alpha-2-HS-glycoprotein (Fragment) OS=Mus musculus OX=10090 GN=Ahsg PE=1 SV=1	AHSG	28.02326140033	28.1734628358464	28.437395094818	
Q9Z0X1	>sp|Q9Z0X1|AIFM1_MOUSE Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus OX=10090 GN=Aifm1 PE=1 SV=1	AIFM1	18.9344587399932	19.3322688259882	17.4255123529991	
P31230	>sp|P31230|AIMP1_MOUSE Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Mus musculus OX=10090 GN=Aimp1 PE=1 SV=2	AIMP1	19.0559136123484	19.6143638494654	16.8751881235759	
Q9R0Y5	>sp|Q9R0Y5|KAD1_MOUSE Adenylate kinase isoenzyme 1 OS=Mus musculus OX=10090 GN=Ak1 PE=1 SV=1	AK1	18.9024330545784	19.1109353744742	17.3583881436114	
Q9WTP6	>sp|Q9WTP6|KAD2_MOUSE Adenylate kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Ak2 PE=1 SV=5	AK2	20.6138854664984	19.5805190033616	19.6686315878145	16.5594251674615
Q9WTQ5	>sp|Q9WTQ5|AKA12_MOUSE A-kinase anchor protein 12 OS=Mus musculus OX=10090 GN=Akap12 PE=1 SV=1	AKAP12	18.5400300397516	18.6154235752114	17.6770160789263	
Q9JII6	>sp|Q9JII6|AK1A1_MOUSE Aldo-keto reductase family 1 member A1 OS=Mus musculus OX=10090 GN=Akr1a1 PE=1 SV=3	AKR1A1	19.8515475159728	18.8663752489526	20.0131498517226	
P45376	>sp|P45376|ALDR_MOUSE Aldo-keto reductase family 1 member B1 OS=Mus musculus OX=10090 GN=Akr1b1 PE=1 SV=3	AKR1B1	21.2091370789857	20.5439080148561	21.2730430751498	17.4534464161644
P45377	>sp|P45377|ALD2_MOUSE Aldose reductase-related protein 2 OS=Mus musculus OX=10090 GN=Akr1b8 PE=1 SV=2	AKR1B8	18.872822831402	18.2141602287988	18.3718964296051	17.6869214705236
Q9DCT1	>sp|Q9DCT1|AKCL2_MOUSE 1,5-anhydro-D-fructose reductase OS=Mus musculus OX=10090 GN=Akr1e2 PE=1 SV=1	AKR1E2	19.7561395660909	17.3499439924693	20.6633876245683	
P10518	>sp|P10518|HEM2_MOUSE Delta-aminolevulinic acid dehydratase OS=Mus musculus OX=10090 GN=Alad PE=1 SV=1	ALAD	17.1747818891992		19.2235561746404	
P07724	>sp|P07724|ALBU_MOUSE Albumin OS=Mus musculus OX=10090 GN=Alb PE=1 SV=3	ALB	23.4640068081013	23.5672359455768	23.7105676546314	21.6226887812775
Q571I9	>sp|Q571I9|A16A1_MOUSE Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus OX=10090 GN=Aldh16a1 PE=1 SV=2	ALDH16A1	16.7536737624424	16.2180366060874	15.5638757334547	
Q9DBF1	>sp|Q9DBF1|AL7A1_MOUSE Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh7a1 PE=1 SV=4	ALDH7A1	16.8361962260477		17.0501531590349	
P05064	>sp|P05064|ALDOA_MOUSE Fructose-bisphosphate aldolase A OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=2	ALDOA	20.7860783656714	20.7523952373568	20.4345079304613	21.3972629169179
A6ZI47	>tr|A6ZI47|A6ZI47_MOUSE Fructose-bisphosphate aldolase OS=Mus musculus OX=10090 GN=Aldoart2 PE=1 SV=1	ALDOART2	16.8085727499876		15.5765880210683	
Q91Y97	>sp|Q91Y97|ALDOB_MOUSE Fructose-bisphosphate aldolase B OS=Mus musculus OX=10090 GN=Aldob PE=1 SV=3	ALDOB	21.0286253552739		21.5055288946743	
P05063	>sp|P05063|ALDOC_MOUSE Fructose-bisphosphate aldolase C OS=Mus musculus OX=10090 GN=Aldoc PE=1 SV=4	ALDOC	16.7803593931464	17.0064681465472	16.3666116468243	
Q8K1E6	>sp|Q8K1E6|ALKB3_MOUSE Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 OS=Mus musculus OX=10090 GN=Alkbh3 PE=1 SV=1	ALKBH3	18.1178764822688		18.3151104362926	
O08583	>sp|O08583|THOC4_MOUSE THO complex subunit 4 OS=Mus musculus OX=10090 GN=Alyref PE=1 SV=3	ALYREF	20.467369077656	20.3004625854022	20.322163492608	
Q07456	>sp|Q07456|AMBP_MOUSE Protein AMBP OS=Mus musculus OX=10090 GN=Ambp PE=1 SV=2	AMBP	20.4003676296939	20.4778637315849	21.817227462645	
Q8JZV7	>sp|Q8JZV7|NAGA_MOUSE N-acetylglucosamine-6-phosphate deacetylase OS=Mus musculus OX=10090 GN=Amdhd2 PE=1 SV=1	AMDHD2	16.7569812628979	17.1061769819189	16.0147666128391	
Q99JB7	>sp|Q99JB7|AMNLS_MOUSE Protein amnionless OS=Mus musculus OX=10090 GN=Amn PE=1 SV=1	AMN	19.0567251108462	16.775805832605	19.48292706358	
Q9DBT5	>sp|Q9DBT5|AMPD2_MOUSE AMP deaminase 2 OS=Mus musculus OX=10090 GN=Ampd2 PE=1 SV=2	AMPD2	17.5893341637141	18.1689499414357	16.695194561105	
Q9R045	>sp|Q9R045|ANGL2_MOUSE Angiopoietin-related protein 2 OS=Mus musculus OX=10090 GN=Angptl2 PE=2 SV=2	ANGPTL2	15.2496022365855		16.9597617815179	
Q8C8R3	>sp|Q8C8R3|ANK2_MOUSE Ankyrin-2 OS=Mus musculus OX=10090 GN=Ank2 PE=1 SV=2	ANK2	17.148847842174		16.6910044104393	
A0A494B9J0	>tr|A0A494B9J0|A0A494B9J0_MOUSE Isoform of Q9WV06, Ankyrin repeat domain 2 OS=Mus musculus OX=10090 GN=Ankrd2 PE=1 SV=1	ANKRD2	17.5937621937613	18.2829391999872	16.458546993109	
O35381	>sp|O35381|AN32A_MOUSE Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Mus musculus OX=10090 GN=Anp32a PE=1 SV=1	ANP32A	19.757371595606	19.2340467053662	19.2092424243252	
Q9EST5	>sp|Q9EST5|AN32B_MOUSE Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Mus musculus OX=10090 GN=Anp32b PE=1 SV=1	ANP32B	19.5712161369739	19.3435577880197	19.2201193204969	
P97822	>sp|P97822|AN32E_MOUSE Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Mus musculus OX=10090 GN=Anp32e PE=1 SV=2	ANP32E	18.5953502839936	18.0976180121562	17.37693411893	
P10107	>sp|P10107|ANXA1_MOUSE Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2	ANXA1	17.8877354835316	17.9533362141007	17.7508334760931	
P07356	>sp|P07356|ANXA2_MOUSE Annexin A2 OS=Mus musculus OX=10090 GN=Anxa2 PE=1 SV=2	ANXA2	16.7878857079003	18.18941488421	19.675096735332	
O35639	>sp|O35639|ANXA3_MOUSE Annexin A3 OS=Mus musculus OX=10090 GN=Anxa3 PE=1 SV=4	ANXA3		17.615420907717	18.0935020521649	
P48036	>sp|P48036|ANXA5_MOUSE Annexin A5 OS=Mus musculus OX=10090 GN=Anxa5 PE=1 SV=1	ANXA5		16.9533254984756	19.2571913653942	
F8WIT2	>tr|F8WIT2|F8WIT2_MOUSE Isoform of P14824, Annexin OS=Mus musculus OX=10090 GN=Anxa6 PE=1 SV=1	ANXA6	16.6828067479331	15.8678602773848	17.5544776422789	
O70423	>sp|O70423|AOC3_MOUSE Amine oxidase [copper-containing] 3 OS=Mus musculus OX=10090 GN=Aoc3 PE=1 SV=3	AOC3	17.466524486177		19.9227100981452	
O35643	>sp|O35643|AP1B1_MOUSE AP-1 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap1b1 PE=1 SV=2	AP1B1	18.4764777845527	18.7650492933654	17.6321480395612	
P35585	>sp|P35585|AP1M1_MOUSE AP-1 complex subunit mu-1 OS=Mus musculus OX=10090 GN=Ap1m1 PE=1 SV=3	AP1M1	18.5596786034125	18.615018226138	18.7252531205733	
P17426	>sp|P17426|AP2A1_MOUSE AP-2 complex subunit alpha-1 OS=Mus musculus OX=10090 GN=Ap2a1 PE=1 SV=1	AP2A1	18.4501186479207	17.9361249382813	18.4083992030529	18.1933394974687
P17427	>sp|P17427|AP2A2_MOUSE AP-2 complex subunit alpha-2 OS=Mus musculus OX=10090 GN=Ap2a2 PE=1 SV=2	AP2A2	17.4533006426499		17.9259586282011	
Q9DBG3	>sp|Q9DBG3|AP2B1_MOUSE AP-2 complex subunit beta OS=Mus musculus OX=10090 GN=Ap2b1 PE=1 SV=1	AP2B1	17.7839418533329	17.8503380330572	18.2615330273558	
P84091	>sp|P84091|AP2M1_MOUSE AP-2 complex subunit mu OS=Mus musculus OX=10090 GN=Ap2m1 PE=1 SV=1	AP2M1	17.3727789346982	17.1781296084294	17.7210759148515	
P62743	>sp|P62743|AP2S1_MOUSE AP-2 complex subunit sigma OS=Mus musculus OX=10090 GN=Ap2s1 PE=1 SV=1	AP2S1	15.7207047316199		15.4556242502632	
Q8R146	>sp|Q8R146|ACPH_MOUSE Acylamino-acid-releasing enzyme OS=Mus musculus OX=10090 GN=Apeh PE=1 SV=3	APEH	18.8136253747893	17.7217385929272	18.2391262787675	
P28352	>sp|P28352|APEX1_MOUSE DNA repair nuclease/redox regulator APEX1 OS=Mus musculus OX=10090 GN=Apex1 PE=1 SV=2	APEX1	17.7758222450973	17.1960999993497	17.146540626282	
O35841	>sp|O35841|API5_MOUSE Apoptosis inhibitor 5 OS=Mus musculus OX=10090 GN=Api5 PE=1 SV=2	API5	18.8709993278813	19.1276218514424	17.9828608426892	
Q9WVQ5	>sp|Q9WVQ5|MTNB_MOUSE Methylthioribulose-1-phosphate dehydratase OS=Mus musculus OX=10090 GN=Apip PE=1 SV=1	APIP	18.6738823126306		18.5182882547455	
Q60709	>tr|Q60709|Q60709_MOUSE Isoform of Q06335, Amyloid beta precursor-like protein 2 OS=Mus musculus OX=10090 GN=Aplp2 PE=1 SV=1	APLP2	17.5810568741644	16.5415451371367	18.0363910804246	
Q00623	>sp|Q00623|APOA1_MOUSE Apolipoprotein A-I OS=Mus musculus OX=10090 GN=Apoa1 PE=1 SV=2	APOA1	24.4834520754734	24.8747603192943	23.89432160293	17.905360240544
E9Q414	>sp|E9Q414|APOB_MOUSE Apolipoprotein B-100 OS=Mus musculus OX=10090 GN=Apob PE=1 SV=1	APOB	16.8580582942263		19.1980248630284	
Q9WV35	>sp|Q9WV35|ABEC2_MOUSE C->U-editing enzyme APOBEC-2 OS=Mus musculus OX=10090 GN=Apobec2 PE=1 SV=1	APOBEC2	15.3252501657017		16.7400426957859	
P51910	>sp|P51910|APOD_MOUSE Apolipoprotein D OS=Mus musculus OX=10090 GN=Apod PE=1 SV=1	APOD	18.3346884531755		18.361248086664	
P08226	>sp|P08226|APOE_MOUSE Apolipoprotein E OS=Mus musculus OX=10090 GN=Apoe PE=1 SV=2	APOE	17.0314215108618	17.4375559752778	16.9314422538637	
Q01339	>sp|Q01339|APOH_MOUSE Beta-2-glycoprotein 1 OS=Mus musculus OX=10090 GN=Apoh PE=1 SV=1	APOH	22.1062989629185	20.6957598534549	22.5027049192551	
Q9Z1R3	>sp|Q9Z1R3|APOM_MOUSE Apolipoprotein M OS=Mus musculus OX=10090 GN=Apom PE=1 SV=1	APOM	16.6360505303983		18.3632577623364	
P12023	>sp|P12023|A4_MOUSE Amyloid-beta precursor protein OS=Mus musculus OX=10090 GN=App PE=1 SV=3	APP	18.9510658367434	18.3078667916269	19.0831212449557	
P08030	>sp|P08030|APT_MOUSE Adenine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Aprt PE=1 SV=2	APRT	16.4106775904612	16.9320546380063	17.4200524986209	
Q5XJY5	>sp|Q5XJY5|COPD_MOUSE Coatomer subunit delta OS=Mus musculus OX=10090 GN=Arcn1 PE=1 SV=2	ARCN1	18.8589112421483	18.6939947956073	18.146651937908	
Q9EPJ9	>sp|Q9EPJ9|ARFG1_MOUSE ADP-ribosylation factor GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Arfgap1 PE=1 SV=2	ARFGAP1	18.0118331001342	18.2100714078406	15.7381549130021	20.1159626412514
Q3UIA2	>sp|Q3UIA2|RHG17_MOUSE Rho GTPase-activating protein 17 OS=Mus musculus OX=10090 GN=Arhgap17 PE=1 SV=1	ARHGAP17	18.0317685447627	17.8550867176541	17.0067479530217	
Q99PT1	>sp|Q99PT1|GDIR1_MOUSE Rho GDP-dissociation inhibitor 1 OS=Mus musculus OX=10090 GN=Arhgdia PE=1 SV=3	ARHGDIA	19.6223680020644	18.7488041324031	19.3125634267525	
Q9ES28	>sp|Q9ES28|ARHG7_MOUSE Rho guanine nucleotide exchange factor 7 OS=Mus musculus OX=10090 GN=Arhgef7 PE=1 SV=2	ARHGEF7	17.1779138301239		16.5856405462135	
Q9Z1K5	>sp|Q9Z1K5|ARI1_MOUSE E3 ubiquitin-protein ligase ARIH1 OS=Mus musculus OX=10090 GN=Arih1 PE=1 SV=3	ARIH1	15.9620371986057		17.6686190808871	
Q9WUL7	>sp|Q9WUL7|ARL3_MOUSE ADP-ribosylation factor-like protein 3 OS=Mus musculus OX=10090 GN=Arl3 PE=1 SV=1	ARL3	18.313894737476	19.8317965186776	17.2713742260352	
Q9R0Q6	>sp|Q9R0Q6|ARC1A_MOUSE Actin-related protein 2/3 complex subunit 1A OS=Mus musculus OX=10090 GN=Arpc1a PE=1 SV=1	ARPC1A	17.9140370460332	17.4486536024022	17.524074447659	
Q9WV32	>sp|Q9WV32|ARC1B_MOUSE Actin-related protein 2/3 complex subunit 1B OS=Mus musculus OX=10090 GN=Arpc1b PE=1 SV=4	ARPC1B	18.2166510631861	19.0722973009833	17.388524303002	
Q9CVB6	>sp|Q9CVB6|ARPC2_MOUSE Actin-related protein 2/3 complex subunit 2 OS=Mus musculus OX=10090 GN=Arpc2 PE=1 SV=3	ARPC2	18.3555639522808	17.8641160211944	19.0731347532056	19.3561744134871
Q9JM76	>sp|Q9JM76|ARPC3_MOUSE Actin-related protein 2/3 complex subunit 3 OS=Mus musculus OX=10090 GN=Arpc3 PE=1 SV=3	ARPC3	17.3559012937363	18.5349235055989	17.669109268507	
P59999	>sp|P59999|ARPC4_MOUSE Actin-related protein 2/3 complex subunit 4 OS=Mus musculus OX=10090 GN=Arpc4 PE=1 SV=3	ARPC4	18.7745127615415	19.1080127902115	19.7686714979001	
Q9CPW4	>sp|Q9CPW4|ARPC5_MOUSE Actin-related protein 2/3 complex subunit 5 OS=Mus musculus OX=10090 GN=Arpc5 PE=1 SV=3	ARPC5	21.0569048782912	21.6420197981686	20.1903998754804	17.9120971201454
