protein_id	fasta_headers	gene_symbols_or_id	MS1d4-L	MS2d4-L	MW1d4-L	MW2d4-L
Q9D358	>sp|Q9D358|PPAC_MOUSE Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus OX=10090 GN=Acp1 PE=1 SV=3	ACP1	21.4725622756213	22.1219473023075	21.8382152202566	21.8099754543779
P24638	>sp|P24638|PPAL_MOUSE Lysosomal acid phosphatase OS=Mus musculus OX=10090 GN=Acp2 PE=1 SV=2	ACP2	19.8896392427333	19.422749784292	20.2387663951885	20.0076405357245
Q8BP40	>sp|Q8BP40|PPA6_MOUSE Lysophosphatidic acid phosphatase type 6 OS=Mus musculus OX=10090 GN=Acp6 PE=1 SV=1	ACP6	20.3763014455361	19.4595268160728	20.751926028734	20.3597298386323
Q3V140	>sp|Q3V140|ACRBP_MOUSE Acrosin-binding protein OS=Mus musculus OX=10090 GN=Acrbp PE=1 SV=1	ACRBP	19.9030674130634	20.2545605718388	19.8989605538397	19.9809643726867
Q9CZW4	>sp|Q9CZW4|ACSL3_MOUSE Fatty acid CoA ligase Acsl3 OS=Mus musculus OX=10090 GN=Acsl3 PE=1 SV=2	ACSL3	18.1076826784711	18.972349710933	18.1254364766841	17.8474044280653
Q9QXG4	>sp|Q9QXG4|ACSA_MOUSE Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus OX=10090 GN=Acss2 PE=1 SV=2	ACSS2	19.428869367338			18.5623732184387
P68134	>sp|P68134|ACTS_MOUSE Actin, alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1	ACTA1	22.4358451685452	22.5553544210685	22.4691857393399	22.2541899397006
Q8BFZ3	>sp|Q8BFZ3|ACTBL_MOUSE Beta-actin-like protein 2 OS=Mus musculus OX=10090 GN=Actbl2 PE=1 SV=1	ACTBL2	22.412858474817	22.819774563883	22.4288438268265	21.9289162671321
P63260	>sp|P63260|ACTG_MOUSE Actin, cytoplasmic 2 OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1	ACTG1	20.7823219503354	20.7537528436669	21.171499654684	20.3896443175687
P63268	>sp|P63268|ACTH_MOUSE Actin, gamma-enteric smooth muscle OS=Mus musculus OX=10090 GN=Actg2 PE=1 SV=1	ACTG2	20.7323822844523	20.6793337365779	20.287869190036	20.8854838131843
Q9Z2N8	>sp|Q9Z2N8|ACL6A_MOUSE Actin-like protein 6A OS=Mus musculus OX=10090 GN=Actl6a PE=1 SV=2	ACTL6A	18.9609607193666	18.8245157725316		19.1554323756588
Q7TPR4	>sp|Q7TPR4|ACTN1_MOUSE Alpha-actinin-1 OS=Mus musculus OX=10090 GN=Actn1 PE=1 SV=1	ACTN1	19.3130435990828	19.5036341049057	19.3483641880501	19.1007596314854
Q9JI91	>sp|Q9JI91|ACTN2_MOUSE Alpha-actinin-2 OS=Mus musculus OX=10090 GN=Actn2 PE=1 SV=2	ACTN2	18.5724773759704	19.5429699716537	18.3599485024731	18.7932116608239
O88990	>sp|O88990|ACTN3_MOUSE Alpha-actinin-3 OS=Mus musculus OX=10090 GN=Actn3 PE=1 SV=1	ACTN3	18.6598952362273	19.4782766291402	18.4647058574165	19.5624228553484
P57780	>sp|P57780|ACTN4_MOUSE Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1	ACTN4	19.8909249781708	20.4767420634712	20.0338674331567	20.0329921895262
Q9QZB7	>sp|Q9QZB7|ARP10_MOUSE Actin-related protein 10 OS=Mus musculus OX=10090 GN=Actr10 PE=1 SV=2	ACTR10	19.9400197227874	19.2430765612871	20.3698377522144	20.0114506340193
P61164	>sp|P61164|ACTZ_MOUSE Alpha-centractin OS=Mus musculus OX=10090 GN=Actr1a PE=1 SV=1	ACTR1A	20.0908730336084	21.0453713031561	20.4317943148527	20.1462937131682
P61161	>sp|P61161|ARP2_MOUSE Actin-related protein 2 OS=Mus musculus OX=10090 GN=Actr2 PE=1 SV=1	ACTR2	19.1742345731893	19.5772032668299	19.3567102067578	20.1168193665165
Q99JY9	>sp|Q99JY9|ARP3_MOUSE Actin-related protein 3 OS=Mus musculus OX=10090 GN=Actr3 PE=1 SV=3	ACTR3	20.0274712127887	20.2301143855112	20.2346423349718	20.72095057347
Q80US4	>sp|Q80US4|ARP5_MOUSE Actin-related protein 5 OS=Mus musculus OX=10090 GN=Actr5 PE=1 SV=3	ACTR5	15.6666434427186	15.1961280664572	14.7042877689078	15.3619939850369
P56376	>sp|P56376|ACYP1_MOUSE Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2	ACYP1	20.1656379614687	21.2280855610666		20.347092308061
P56375	>sp|P56375|ACYP2_MOUSE Acylphosphatase-2 OS=Mus musculus OX=10090 GN=Acyp2 PE=1 SV=2	ACYP2	20.9239247989071	20.2095667727479	20.4635742616857	20.7186685894055
D3YUK3;D3Z117	>tr|D3YUK3|D3YUK3_MOUSE Isoform of Q61824, ADAM metallopeptidase domain 12 (Fragment) OS=Mus musculus OX=10090 GN=Adam12 PE=1 SV=1;>tr|D3Z117|D3Z117_MOUSE Isoform of Q61824, ADAM metallopeptidase domain 12 (Fragment) OS=Mus musculus OX=10090 GN=Adam12 PE=1 SV=1	ADAM12	19.3112201870515	18.037477179269	19.9291893667319	19.7941389587164
Q9R1V7	>sp|Q9R1V7|ADA23_MOUSE Disintegrin and metalloproteinase domain-containing protein 23 OS=Mus musculus OX=10090 GN=Adam23 PE=1 SV=1	ADAM23	19.1521943627653	19.1081759393793		19.4830871602973
Q8BNJ2	>sp|Q8BNJ2|ATS4_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 4 OS=Mus musculus OX=10090 GN=Adamts4 PE=2 SV=2	ADAMTS4	22.5031572888559	20.7320489036563	22.3785365987916	22.715575294617
Q6PAT0	>sp|Q6PAT0|ADAT3_MOUSE Probable inactive tRNA-specific adenosine deaminase-like protein 3 OS=Mus musculus OX=10090 GN=Adat3 PE=1 SV=1	ADAT3	19.941917753703	18.9510289638355	19.6494551993292	
Q9QYC0	>sp|Q9QYC0|ADDA_MOUSE Alpha-adducin OS=Mus musculus OX=10090 GN=Add1 PE=1 SV=2	ADD1	21.1186261145388	20.6570900382132	21.0134883068799	20.792280766654
P00329	>sp|P00329|ADH1_MOUSE Alcohol dehydrogenase 1 OS=Mus musculus OX=10090 GN=Adh1 PE=1 SV=2	ADH1		18.7315755574513	18.7757216372072	19.0252802513076
P28474	>sp|P28474|ADHX_MOUSE Alcohol dehydrogenase class-3 OS=Mus musculus OX=10090 GN=Adh5 PE=1 SV=3	ADH5	18.6215324056984	19.0873395343193	18.7186595471491	18.8998462475528
Q99JT9	>sp|Q99JT9|MTND_MOUSE Acireductone dioxygenase OS=Mus musculus OX=10090 GN=Adi1 PE=1 SV=1	ADI1	19.1825367222036	19.6046321615026		19.6919782814041
P55264	>sp|P55264|ADK_MOUSE Adenosine kinase OS=Mus musculus OX=10090 GN=Adk PE=1 SV=2	ADK	18.9035743952417	18.5373098222143	18.4616405601651	18.8150119809702
Q9Z103	>sp|Q9Z103|ADNP_MOUSE Activity-dependent neuroprotector homeobox protein OS=Mus musculus OX=10090 GN=Adnp PE=1 SV=2	ADNP	18.7459709752747	18.9132230509398	18.6917061386101	18.4333907951437
Q6PDY2	>sp|Q6PDY2|AEDO_MOUSE 2-aminoethanethiol dioxygenase OS=Mus musculus OX=10090 GN=Ado PE=1 SV=2	ADO	19.2982041092012	19.562199032457	19.4076797021744	19.548932075697
P54923	>sp|P54923|ADPRH_MOUSE ADP-ribosylhydrolase ARH1 OS=Mus musculus OX=10090 GN=Adprh PE=1 SV=1	ADPRH	22.8262471370009	21.8796550420602	22.7231107654701	22.5380701596028
Q8CG72	>sp|Q8CG72|ADPRS_MOUSE ADP-ribosylhydrolase ARH3 OS=Mus musculus OX=10090 GN=Adprs PE=1 SV=1	ADPRS	19.9181298519595	19.1769120351739	19.6817377748772	19.7852055039711
Q9JKV1	>sp|Q9JKV1|ADRM1_MOUSE Proteasomal ubiquitin receptor ADRM1 OS=Mus musculus OX=10090 GN=Adrm1 PE=1 SV=2	ADRM1	18.2234565663237	18.6729245008109	18.3242107263224	17.8254724195673
P54822	>sp|P54822|PUR8_MOUSE Adenylosuccinate lyase OS=Mus musculus OX=10090 GN=Adsl PE=1 SV=2	ADSL	18.6525820391671	18.9790955813318	18.8744504170395	18.7299968622631
P28650	>sp|P28650|PURA1_MOUSE Adenylosuccinate synthetase isozyme 1 OS=Mus musculus OX=10090 GN=Adss1 PE=1 SV=2	ADSS1		17.3384278723644		16.704201584003
P46664	>sp|P46664|PURA2_MOUSE Adenylosuccinate synthetase isozyme 2 OS=Mus musculus OX=10090 GN=Adss2 PE=1 SV=2	ADSS2	19.9879043748051	18.9971178315851	20.4398188518735	20.1093639828271
Q9QZQ1	>sp|Q9QZQ1|AFAD_MOUSE Afadin OS=Mus musculus OX=10090 GN=Afdn PE=1 SV=3	AFDN	19.3144186173819	18.7563833289739	19.1576911938494	19.3163218119209
Q8JZQ2	>sp|Q8JZQ2|AFG32_MOUSE Mitochondrial inner membrane m-AAA protease component AFG3L2 OS=Mus musculus OX=10090 GN=Afg3l2 PE=1 SV=1	AFG3L2	19.2725288685319	18.4302703352934	19.9103976715792	18.1332492273874
Q64191	>sp|Q64191|ASPG_MOUSE N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Mus musculus OX=10090 GN=Aga PE=1 SV=1	AGA	20.1021320397957	20.2539574457888	19.8959828683752	19.8346495430146
Q8K2K6	>sp|Q8K2K6|AGFG1_MOUSE Arf-GAP domain and FG repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Agfg1 PE=1 SV=2	AGFG1	15.9128059414219	15.5527775406699	15.7754449674492	
Q80WC7	>sp|Q80WC7|AGFG2_MOUSE Arf-GAP domain and FG repeat-containing protein 2 OS=Mus musculus OX=10090 GN=Agfg2 PE=1 SV=1	AGFG2		18.2790615938804		18.9834126352039
F8VPN4	>tr|F8VPN4|F8VPN4_MOUSE Glycogen debranching enzyme OS=Mus musculus OX=10090 GN=Agl PE=1 SV=1	AGL	20.1581226369512	19.5493842224664	19.2030984554511	20.5700092368231
Q8CJG0	>sp|Q8CJG0|AGO2_MOUSE Protein argonaute-2 OS=Mus musculus OX=10090 GN=Ago2 PE=1 SV=3	AGO2	20.1267473082855	18.9379108970332	20.4186850377431	19.7858502708165
Q8K4X7	>sp|Q8K4X7|PLCD_MOUSE 1-acyl-sn-glycerol-3-phosphate acyltransferase delta OS=Mus musculus OX=10090 GN=Agpat4 PE=1 SV=1	AGPAT4	17.8868509839646	18.1379333687076	16.8464824098124	
A2ASQ1	>sp|A2ASQ1|AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1	AGRN	18.338246647657	15.5764488191736	18.2799010390443	17.8553789089904
Q8CJF7	>sp|Q8CJF7|ELYS_MOUSE Protein ELYS OS=Mus musculus OX=10090 GN=Ahctf1 PE=1 SV=1	AHCTF1	20.571079190361	19.658772256015	21.0007989511422	21.0322459888927
P50247	>sp|P50247|SAHH_MOUSE Adenosylhomocysteinase OS=Mus musculus OX=10090 GN=Ahcy PE=1 SV=3	AHCY	21.3833401896307	20.9391189034467	20.775003411045	21.4033006640089
Q6PAL7	>sp|Q6PAL7|AHDC1_MOUSE Transcription factor Gibbin OS=Mus musculus OX=10090 GN=Ahdc1 PE=1 SV=1	AHDC1	18.8373229426586	18.5739087427071	18.4124574112713	18.7238237638742
E9Q616	>tr|E9Q616|E9Q616_MOUSE AHNAK nucleoprotein OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1	AHNAK	20.8553083137348	21.2778693156617	20.5877569514306	20.626547900683
A0A7N9VR94	>tr|A0A7N9VR94|A0A7N9VR94_MOUSE AHNAK nucleoprotein 2 OS=Mus musculus OX=10090 GN=Ahnak2 PE=1 SV=1	AHNAK2	20.3289192577693	19.7087704354357	20.2802509490313	20.1850450229376
Q8BK64	>sp|Q8BK64|AHSA1_MOUSE Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus OX=10090 GN=Ahsa1 PE=1 SV=2	AHSA1	18.893522316836	18.9681358763233	19.0459783349965	18.9702939365656
Q8C4Q6	>sp|Q8C4Q6|AIDA_MOUSE Axin interactor, dorsalization-associated protein OS=Mus musculus OX=10090 GN=Aida PE=1 SV=1	AIDA	17.842854342588		17.4866821642664	17.8749554205223
Q9Z0X1	>sp|Q9Z0X1|AIFM1_MOUSE Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus OX=10090 GN=Aifm1 PE=1 SV=1	AIFM1	20.1726433253171	20.7635015889966	20.3282446831959	20.6901377987215
P31230	>sp|P31230|AIMP1_MOUSE Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Mus musculus OX=10090 GN=Aimp1 PE=1 SV=2	AIMP1	21.1818584035095	20.5750334059965	21.3222228580599	21.0662587150312
Q8R010	>sp|Q8R010|AIMP2_MOUSE Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Mus musculus OX=10090 GN=Aimp2 PE=1 SV=2	AIMP2	19.0972273311628	18.616611588666	19.6529143769864	18.9726218679925
O08915	>sp|O08915|AIP_MOUSE AH receptor-interacting protein OS=Mus musculus OX=10090 GN=Aip PE=1 SV=1	AIP	19.4018651813515	19.7536329256574	19.5800103822801	19.6493353624023
Q91XC0	>sp|Q91XC0|AJUBA_MOUSE LIM domain-containing protein ajuba OS=Mus musculus OX=10090 GN=Ajuba PE=1 SV=1	AJUBA	16.5571249301985	15.7028413347	17.245896350422	17.2740892438633
